galaxy10_index,ra,dec,galaxy10_class,morphology,redshift,original_pxscale,nearest_lenscat_arcsec,image_id,label,class_name,cutout_url,file_path,survey_layer,cutout_size,cutout_pxscale,download_status,http_status,width,height,mean_pixel,pixel_std,usable,suspected_lens,notes,error
3797,175.45504762004794,18.802429088175856,2,round_smooth,0.07044868,0.262,275.33731857692055,nonlens_0001,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=175.45504762004794&dec=18.802429088175856&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0001.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
9562,234.70835876464844,33.98369598388672,5,barred_spiral,0.07340763,0.262,1686.8657011818227,nonlens_0002,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=234.70835876464844&dec=33.98369598388672&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0002.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
14705,21.507563878739848,-0.9929404924185424,8,edge_on_without_bulge,0.045432296,0.262,990.3230546496516,nonlens_0003,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=21.507563878739848&dec=-0.9929404924185424&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0003.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
13524,164.1195831298828,46.01585006713867,7,unbarred_loose_spiral,0.06322819,0.262,1722.121907482788,nonlens_0004,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=164.1195831298828&dec=46.01585006713867&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0004.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
4784,203.89532470703125,42.40220642089844,2,round_smooth,0.06290618,0.262,1007.3108791735511,nonlens_0005,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=203.89532470703125&dec=42.40220642089844&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0005.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
13692,209.9649810791016,34.12290573120117,7,unbarred_loose_spiral,0.142947,0.262,1091.8228857315269,nonlens_0006,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=209.9649810791016&dec=34.12290573120117&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0006.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
8704,152.52438412440972,12.236113473879511,5,barred_spiral,0.077497594,0.262,1951.5718397444964,nonlens_0007,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=152.52438412440972&dec=12.236113473879511&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0007.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
13181,234.20269775390625,41.85074615478516,7,unbarred_loose_spiral,0.0415864,0.262,1106.9297913800744,nonlens_0008,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=234.20269775390625&dec=41.85074615478516&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0008.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
7100,198.833740234375,29.89728355407715,3,in_between_round_smooth,0.1102022,0.262,1348.4330273055032,nonlens_0009,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=198.833740234375&dec=29.89728355407715&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0009.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
3372,326.081086429382,2.620394758255133,2,round_smooth,0.1389997,0.262,1434.6764822433809,nonlens_0010,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=326.081086429382&dec=2.620394758255133&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0010.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
7895,207.906494140625,31.34677505493164,4,cigar_shaped_smooth,0.07581814,0.262,539.9938423081751,nonlens_0011,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=207.906494140625&dec=31.34677505493164&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0011.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
17175,20.443089818484825,-3.662447952406419,9,edge_on_with_bulge,0.05439438,0.262,3804.4496122099954,nonlens_0012,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=20.443089818484825&dec=-3.662447952406419&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0012.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
12295,233.01423931538568,13.358049341293732,7,unbarred_loose_spiral,0.13363348,0.262,1046.4475875536689,nonlens_0013,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=233.01423931538568&dec=13.358049341293732&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0013.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
10990,131.7862321161634,19.631051732442035,6,unbarred_tight_spiral,0.031182744,0.524,2022.1432480608623,nonlens_0014,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=131.7862321161634&dec=19.631051732442035&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0014.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
14935,124.30980682373048,12.991183280944824,8,edge_on_without_bulge,0.03229249,0.262,4618.421827856936,nonlens_0015,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=124.30980682373048&dec=12.991183280944824&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0015.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
4170,182.1185094159989,3.756814598436069,2,round_smooth,0.10764726,0.262,602.0559187892619,nonlens_0016,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=182.1185094159989&dec=3.756814598436069&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0016.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
10182,329.1521000296126,2.1834706167547826,6,unbarred_tight_spiral,0.117321365,0.262,1245.1578371521975,nonlens_0017,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=329.1521000296126&dec=2.1834706167547826&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0017.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
15742,179.7799530029297,8.124344825744629,8,edge_on_without_bulge,0.02110626,0.262,2858.9470255100077,nonlens_0018,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=179.7799530029297&dec=8.124344825744629&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0018.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
15300,185.35757446289065,21.90228271484375,8,edge_on_without_bulge,,0.262,335.2701071168688,nonlens_0019,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=185.35757446289065&dec=21.90228271484375&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0019.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
12405,206.0219337862208,29.55613063134751,7,unbarred_loose_spiral,0.051464956,0.262,843.2645784444524,nonlens_0020,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=206.0219337862208&dec=29.55613063134751&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0020.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
12592,239.282958984375,53.54447555541992,7,unbarred_loose_spiral,0.04316778,0.262,2603.3651952709934,nonlens_0021,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=239.282958984375&dec=53.54447555541992&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0021.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
12019,188.3954300640781,1.644339958002403,7,unbarred_loose_spiral,0.08523427,0.262,109.3882253828126,nonlens_0022,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=188.3954300640781&dec=1.644339958002403&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0022.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
4348,38.66750609452147,0.527277804604672,2,round_smooth,0.032028858,0.262,1672.3588231574233,nonlens_0023,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=38.66750609452147&dec=0.527277804604672&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0023.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
11156,171.2467498779297,64.31398010253906,6,unbarred_tight_spiral,0.04692396,0.262,4179.305466735975,nonlens_0024,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=171.2467498779297&dec=64.31398010253906&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0024.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
7779,172.4651336669922,60.84814834594727,4,cigar_shaped_smooth,0.1448082,0.262,2347.352478864123,nonlens_0025,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=172.4651336669922&dec=60.84814834594727&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0025.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
17494,136.9978485107422,65.08770751953125,9,edge_on_with_bulge,0.06718668,0.262,4261.628081805745,nonlens_0026,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=136.9978485107422&dec=65.08770751953125&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0026.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
3469,219.78291196293648,4.487410623667888,2,round_smooth,0.1270925,0.262,1907.3223472874683,nonlens_0027,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=219.78291196293648&dec=4.487410623667888&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0027.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
13120,163.88375854492188,45.98756408691406,7,unbarred_loose_spiral,0.08177831,0.262,1769.9172589933473,nonlens_0028,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=163.88375854492188&dec=45.98756408691406&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0028.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
13474,191.1277618408203,36.121543884277344,7,unbarred_loose_spiral,0.0862492,0.262,501.833263195017,nonlens_0029,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=191.1277618408203&dec=36.121543884277344&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0029.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
9518,228.2389373779297,45.44404220581055,5,barred_spiral,0.06738262,0.262,769.5618043609666,nonlens_0030,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=228.2389373779297&dec=45.44404220581055&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0030.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
3520,253.66298121590077,34.56109523508891,2,round_smooth,0.03081447,0.262,2391.4217985532673,nonlens_0031,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=253.66298121590077&dec=34.56109523508891&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0031.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
4635,226.540863229312,-2.8073156087225195,2,round_smooth,0.07321034,0.262,1830.1638785964446,nonlens_0032,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=226.540863229312&dec=-2.8073156087225195&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0032.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
8290,256.72797544905296,30.26976095953496,5,barred_spiral,0.030813986,0.524,1845.5567547495843,nonlens_0033,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=256.72797544905296&dec=30.26976095953496&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0033.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
9279,203.0152740478516,36.44784164428711,5,barred_spiral,0.07221732,0.262,292.66218016506093,nonlens_0034,0,presumed_non_lens,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=203.0152740478516&dec=36.44784164428711&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0034.jpg,ls-dr10,128,0.262,already_downloaded,,,,,,,,,
