image_id,file_path,label,class_name,readable,width,height,channels,mean_pixel,pixel_std,file_hash,usable,notes,split
nonlens_1835,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1835.jpg,0,presumed_non_lens,1,128,128,3,103.81538899739584,70.42449223994647,74cc7bc547bf02c157b092ca9d30ae79656b32e180892aa997e3a43f11167f6c,1,,train
nonlens_0062,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0062.jpg,0,presumed_non_lens,1,128,128,3,79.94443766276042,52.36677922724744,377ce525e9ec7172711dc921fc88d11bf7d4303ca9bc813bcb9b3e7ca2077b85,1,,train
confident_0071,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0071.jpg,1,lens,1,128,128,3,58.953938802083336,36.83468392105412,926340f17b9bb5fbe49c7f99516d6c7594b3726eafc14b69f529dbbc1ce89460,1,,train
nonlens_0984,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0984.jpg,0,presumed_non_lens,1,128,128,3,53.87652587890625,45.64239992562669,d29b92a40ca6cb2377d6aa1405037d04f18f11db598074e3e0b73ec8e2594c7a,1,,train
confident_0278,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0278.jpg,1,lens,1,128,128,3,37.84519449869792,21.3632899805232,bf2a522f204a48572bce97765d2322d02ac3df61a19cd42f4f946ecb48063b11,1,,train
nonlens_1647,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1647.jpg,0,presumed_non_lens,1,128,128,3,51.06292724609375,38.76589170469831,c9aea070e031b20f2d60b16ec4cf1131f6dd6b8a661a32a588637b789a9959c7,1,,train
nonlens_1339,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1339.jpg,0,presumed_non_lens,1,128,128,3,63.66507975260416,56.93955144873458,8900ee3b58bb6d7d059ab007c9e445de253c0896b186490186563f52a1e81728,1,,train
confident_1549,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_1549.jpg,1,lens,1,128,128,3,44.480082194010414,29.279448463119007,e873e7fd6923cbe4db4162aea067bd2c2fa2921bfa99cf77e52c030a1fa26a25,1,,train
confident_1422,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_1422.jpg,1,lens,1,128,128,3,46.00858561197917,26.46760253412565,9085ce055eecb23608fa35da99bc6469b16b690663924e45c0c27338594ac91f,1,,train
confident_1309,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_1309.jpg,1,lens,1,128,128,3,35.04058837890625,17.946596412644418,21df48c480ae11766bc051913da01edac6c1a2096713a6af7737e9ed8983dd81,1,,train
confident_0111,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0111.jpg,1,lens,1,128,128,3,34.55963134765625,16.31904353992923,d0db0594a82cd66afcb1794ac79f9f216dd13cdace25e456386dfe715973a58c,1,,train
confident_0232,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0232.jpg,1,lens,1,128,128,3,45.6005859375,32.11950263003691,d4beb9fb85338684d0aa9df422eb762e1487961a854cfcf9d327339fa3a509d3,1,,train
nonlens_1117,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1117.jpg,0,presumed_non_lens,1,128,128,3,45.2598876953125,38.81054582842669,5e07753f991000e5aa9733980393e64d10bbe4218960c2c76a369bf99221b786,1,,train
confident_1489,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_1489.jpg,1,lens,1,128,128,3,35.297709147135414,12.372379626797642,61b5af865715274b99adb4234d500ac58777db4ffce563fa9f173a01022248b0,1,,train
nonlens_1066,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1066.jpg,0,presumed_non_lens,1,128,128,3,175.1151123046875,41.13796207046425,aa7bde8501b7eea83cd85cf95fc174b1cbc5673d4efd2ef9b0a18a851467db8c,1,,train
confident_0103,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0103.jpg,1,lens,1,128,128,3,47.235677083333336,30.51016280048126,d42ddbfaa2088e4ba40472484ba2b046b86fbd4fc32a02354c1e40f718c402f2,1,,train
nonlens_1621,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1621.jpg,0,presumed_non_lens,1,128,128,3,52.252054850260414,45.53329027786419,06229343aa310aa08390baf44694129c15ded17c06a221d7b4321b03af5b5bfe,1,,train
nonlens_1939,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1939.jpg,0,presumed_non_lens,1,128,128,3,66.867431640625,46.03417543648492,60589c6bab24bb224c7f648a0f482479ccc7d673f38cb90c3100be58e4819ee0,1,,train
confident_0796,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0796.jpg,1,lens,1,128,128,3,56.51580810546875,35.83039057525994,824ddf5904ec2a76479c3bc13a1c36a979a797ea7f06066ab974edcd1ffaffe9,1,,train
nonlens_1038,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1038.jpg,0,presumed_non_lens,1,128,128,3,46.04547119140625,41.85154363154851,1ebdce4dee311a6b5dd0ba60d752aec48ad34e5cbcbc59ddfa09eca2f56fd199,1,,train
confident_1533,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_1533.jpg,1,lens,1,128,128,3,44.802327473958336,26.70352324624136,61626e9bba181b61d9df52c8661f00e216f938dbb7b0e69fd8de51bb007c5d22,1,,train
nonlens_1613,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1613.jpg,0,presumed_non_lens,1,128,128,3,45.55985514322917,35.187935925250535,5d2486ece41aac20bf2f34cadf7ab0fc56ac1f563a2b3bee3759b2472bf9c348,1,,train
nonlens_1432,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1432.jpg,0,presumed_non_lens,1,128,128,3,67.17698160807292,47.0411178560259,a872bdb7bb7c645fb4ea67210c6e3f978149530d93e13492334f6c51064ed418,1,,train
nonlens_1779,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1779.jpg,0,presumed_non_lens,1,128,128,3,43.97808837890625,29.449475279915795,979d5bdb15972ac139a5d176575122fc682bc034751b8924866e8203bc4b753b,1,,train
nonlens_0990,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0990.jpg,0,presumed_non_lens,1,128,128,3,55.831298828125,43.40224024412655,332402ed785ff12c32242320c698ba0fd2c093dad7c17cd5aa9a8b81643113df,1,,train
confident_0477,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0477.jpg,1,lens,1,128,128,3,39.409810384114586,21.64951503498065,022b96d0861bbff10f76e93cb8b9ee1a1f7a039d7267c35e8949838c3aeacf8f,1,,train
confident_0812,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0812.jpg,1,lens,1,128,128,3,86.07033284505208,53.10938838080169,5de54d551a576df4af751dd2794a8fc76fb80b52e0766ef23da046bfb6574435,1,,train
nonlens_1671,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1671.jpg,0,presumed_non_lens,1,128,128,3,83.80049641927083,46.53632593915238,f6657866c95411e8e87f0a0eea81d087fabba35d3453734d695f62bfa398dafd,1,,train
nonlens_1245,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1245.jpg,0,presumed_non_lens,1,128,128,3,59.72037760416666,45.36446797020102,3ea721be83ea21b882a44dfd79d9b6a41d40102ef23a78ddcd28776ea645a1b8,1,,train
confident_1664,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_1664.jpg,1,lens,1,128,128,3,44.683736165364586,26.996209028193807,2663624df5b133ef2c75797d3c8e7b1bd1ee7c85024952ea26b04a731b822ca1,1,,train
nonlens_1942,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1942.jpg,0,presumed_non_lens,1,128,128,3,49.37050374348959,39.960936674285,5aec615363d7c8e0a013626f049b8325bf5e9201d87bc63da9b6247b8a76a289,1,,train
confident_0410,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0410.jpg,1,lens,1,128,128,3,44.06075032552084,27.925674099584025,ae23437491b89f4071be0d0e823220e8b334cb63bb3fceefbed84ca8bb77f906,1,,train
nonlens_1753,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1753.jpg,0,presumed_non_lens,1,128,128,3,41.56884765625,30.29975603952805,a388e213c9106ba74ba51c4907feb01ab631c6b27536fc914c84c5f52520f067,1,,train
confident_1553,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_1553.jpg,1,lens,1,128,128,3,33.960693359375,14.16806159327801,fec3effbe47c3b47d15c2626d062b9c163915cab6643e09622febaf5241040c4,1,,train
nonlens_1832,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1832.jpg,0,presumed_non_lens,1,128,128,3,54.91558837890625,49.16636365056532,7843c2086515554ec28ac0288948bc15e4888bc096dc1018a82e3fe4bd3ace7a,1,,train
confident_1461,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_1461.jpg,1,lens,1,128,128,3,34.212748209635414,12.19887481000959,6d81a420b58d3b10fb0f2df9c5825248ce09e1b531cde9f83f3c80164f523499,1,,train
nonlens_1925,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_1925.jpg,0,presumed_non_lens,1,128,128,3,55.2320556640625,44.54072020397255,050744c39090bf47e262d3499c52fe33f91bc451a2bc4897e1b63a88d8e757fe,1,,train
confident_0747,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0747.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,,train
nonlens_0975,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\non_lens\nonlens_0975.jpg,0,presumed_non_lens,1,128,128,3,48.376566569010414,42.50956471946797,7575e7193074510cc09c693d23cc7e99a0801171adbd916feaa71ad15d1b989e,1,,train
