image_id,name,RA [deg],DEC [deg],type,grading,grading_group,label,cutout_url,file_path,download_status,http_status,width,height,error
confident_0001,DESI-030.4025+03.7476,30.4025,3.7476,galaxy,confident,confident,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=30.4025&dec=3.7476&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0001.jpg,already_downloaded,,,,
confident_0002,DESI-137.7780+07.3089 | 2769704,137.77804,7.30891,galaxy,confident,confident,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=137.77804&dec=7.30891&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0002.jpg,already_downloaded,,,,
confident_0003,39638274,71.96587,-36.38232,galaxy,confident,confident,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=71.96587&dec=-36.38232&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0003.jpg,already_downloaded,,,,
confident_0004,109,197.01737,34.00757,galaxy,confident,confident,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=197.01737&dec=34.00757&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0004.jpg,already_downloaded,,,,
confident_0005,125254+004356,193.22746,0.732316,galaxy,confident,confident,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=193.22746&dec=0.732316&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0005.jpg,already_downloaded,,,,
confident_0006,144320-012537,220.835982,-1.426985,galaxy,confident,confident,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=220.835982&dec=-1.426985&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0006.jpg,already_downloaded,,,,
confident_0007,J0911+5253 | 801,137.92625,52.88909,galaxy,confident,confident,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=137.92625&dec=52.88909&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0007.jpg,already_downloaded,,,,
confident_0008,776 | J1521+1011,230.49037,10.19724,galaxy,confident,confident,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=230.49037&dec=10.19724&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0008.jpg,already_downloaded,,,,
confident_0009,5024165,49.41908,-17.18492,galaxy,confident,confident,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=49.41908&dec=-17.18492&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0009.jpg,already_downloaded,,,,
confident_0010,DELJ081842-272441,124.67729,-27.41141,galaxy,confident,confident,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=124.67729&dec=-27.41141&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0010.jpg,already_downloaded,,,,
