image_id,file_path,label,class_name,readable,width,height,channels,mean_pixel,pixel_std,file_hash,usable,notes
confident_0010,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0010.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,
confident_0118,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0118.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,
confident_0198,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0198.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,
confident_0250,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0250.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,
confident_0251,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0251.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,
confident_0255,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0255.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,
confident_0274,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0274.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,
confident_0307,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0307.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,
confident_0313,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0313.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,
confident_0439,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0439.jpg,1,lens,1,128,128,3,32.0,0.0,b9fc26ac0c130027cdcfd02ec79df1f0d3e8077e7e2a8e576c1d9c237539b4f9,1,
