image_id,name,RA [deg],DEC [deg],type,grading,grading_group,label,cutout_url,file_path,download_status,http_status,width,height,error
probable_0001,J2325+0016,351.26492,0.26941,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=351.26492&dec=0.26941&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0001.jpg,already_downloaded,,,,
probable_0002,CFHTLS-CL-J142024+525700,215.10167,52.95006,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=215.10167&dec=52.95006&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0002.jpg,already_downloaded,,,,
probable_0003,NSCS J001207+030605,3.02838,3.10123,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=3.02838&dec=3.10123&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0003.jpg,already_downloaded,,,,
probable_0004,DESI-251.1722+04.9724,251.17221,4.9724,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=251.17221&dec=4.9724&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0004.jpg,already_downloaded,,,,
probable_0005,972,217.23833,-12.52,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=217.23833&dec=-12.52&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0005.jpg,already_downloaded,,,,
probable_0006,DELJ104337-404242,160.90708,-40.71192,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=160.90708&dec=-40.71192&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0006.jpg,already_downloaded,,,,
probable_0007,NSCS J150911+390019,227.29688,39.00503,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=227.29688&dec=39.00503&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0007.jpg,already_downloaded,,,,
probable_0008,8571898 | DES J022142-384523,35.42764,-38.75646,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=35.42764&dec=-38.75646&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0008.jpg,already_downloaded,,,,
probable_0009,DES J001744-630023,4.43433,-63.00652,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=4.43433&dec=-63.00652&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0009.jpg,already_downloaded,,,,
probable_0010,J1444-0240 | 388,221.12554,-2.66892,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=221.12554&dec=-2.66892&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0010.jpg,already_downloaded,,,,
probable_0011,NSCS J130845+360431,197.18629,36.07507,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=197.18629&dec=36.07507&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0011.jpg,already_downloaded,,,,
probable_0012,NSCS J115423+342922,178.59542,34.48927,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=178.59542&dec=34.48927&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0012.jpg,already_downloaded,,,,
probable_0013,NSCS J113207+444713,173.02717,44.78675,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=173.02717&dec=44.78675&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0013.jpg,already_downloaded,,,,
probable_0014,NSCS J002718+060518,6.82325,6.08828,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=6.82325&dec=6.08828&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0014.jpg,already_downloaded,,,,
probable_0015,NSCS J152244+423419,230.68237,42.57188,galaxy,probable,probable,1,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=230.68237&dec=42.57188&layer=ls-dr10&size=128&pixscale=0.262,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\probable\probable_0015.jpg,already_downloaded,,,,
